music	1001111100010111101111100010111100110010010	12
letter	100111110001011111000010000010	12
things	10011111000101111110011011100000111	12
corporate	1001111100010111101111100101011110011011111	12
possible	100111110001011111000111100011001010	12
palestinians	1001111100010111101010001000111000	12
nixon	10011111000101111000011010001100011101011	12
watched	100111110001011111000110110000000111000	12
community	10011111000101111100000011011100010	12
line	1001111100010111010010110011011	12
less	100111110001110110101110000110	12
iraq	1001111100011111100111111111000111	12
sales	10011111000111110011111001101010	12
family	100111110001011111101010111100101101	12
step	100111110001011100001001011010000	12
ballot	100111110001011110010111011101110011101	12
department	10011111000111100100100001	12
michael	100111110001011110101101101110100010100	12
university	1001111100010111110001101000101110011	12
border	10011111000111001110100010	12
accused	100111110001011110001111011111100101000	12
began	1001111100010111110011111111110000001	12
effect	100111110001011110001101000100100000101101	12
shea	100111110001011001010000100001	12
net	10011111000111110011111001101011	12
supporters	1001111100010111101011000100110001110101	12
seattle	10011111000101110000001111101001110010011	12
making	1001111100010111110010101011111001110110	12
16	100111110001011110010000100101011000101	12
get	10011111000101110001000110101101111	12
've	1001111100010111001000101111001000001	12
fall	10011111000101110100001101110011	12
ge	10011111000101110010000100100001001110100	12
schumacher	100111110001011110010100000111001001010101101100111	12
dec	1001111100011111000010111110	12
done	100111110001011100111011001010001111101	12
part	100111110001011110011111001010001100110	12
believe	100111110001011100111011011111011110110010111	12
cents	10011111000110110001001100001000100010100100	12
chicago	10011111000101101010000001110000	12
exchange	10011111000110010001010001000000010	12
thought	100111110001011100111011001100111101111110	12
soviet	10011111000101110101111000001000100001	12
top	100111110001011100010101000001010001	12
oct	100111110001101000011001111100	12
despite	100111110001001101001010111100	12
report	100111110001011110011100000000110001	12
attacks	100111110001011110101011000001101111	12
roy	100111110001011110011100000000100011110001	12
name	100111110001011100000011101100011100000111	12
region	100111110001011110010011111110000011111000101	12
cast	1001111100010111011101111001100110110	12
inflation	10011111000100010011100000101100	12
leading	10011111000101110010000001011110110001	12
lvmh	1001111100011111001101100011010110000101001010	12
recently	1001111100010111100001111011000111	12
sports	1001111100010011011011001010011000	12
smaller	1001111100010111111001001001011010111	12
six	1001111100010111100010001011010	12
agency	100111110001011110100111101100110111011	12
lead	10011111000101111001010010000101110110011000110	12
travel	100111110001011101010000110100100001	11
nations	100111110001011111000000011101010	11
joseph	100111110001011111000001100111100111	11
elephant	100111110001011100000011111010011100100101	11
zoo	100111110001011100000011111010011100100100	11
prime	100111110001011111100110011111011	11
rodriguez	1001111100010010110011011	11
earnings	10011111000101110011000000111101110101	11
mackenzie	1001111100011001100100101001011100	11
plan	1001111100011000000110010000010011111	11
nasdaq	10011111000110100101101101010010	11
failed	100111110001111110110011110010101111000	11
sec	1001111100010111001101101010101111000000	11
jewish	10011111000101111110100100010111110	11
young	1001111100010111111010101111111111011	11
f	100111110100000011110001010010011001101101110011011010000100010011000011101010	11
bird	1001111100010111101011101011001110100010011010	11
system	1001111100010111101111111000111111000	11
rule	1001111100010111001100101010110100001	11
bank	100111110001110111101001010111000	11
online	10011111000101110010010100110111	11
price	1001111100011110011001101101	11
stremlow	100111110001011111101101000011011	11
taken	10011111000101111110011000010000001	11
st.	10011111000101110111001111100000000101101011	11
station	10011111001000001010100110001000	11
toward	1001111100010111001100000100000011110000100	11
meanwhile	10011111000101111001000011100101001110111	11
donna	10011111000111110011011000110101100001010010111	11
peace	100111110001011110101011100000100110011	11
able	10011111000101110010001100101011	11
protest	10011111000100001011101110010101	11
met	100111110001001011100111000010000	11
matter	1001111100010111100011101100000011111	11
paid	10011111000101110101000111011000100	11
broncos	10011111000100110110110010100110011	11
running	1001111100010111100100001100100110001000101	11
remain	10011111000101111100100000101101	11
hard	10011111000101110100101111001100	11
park	100111110001011100000011111010001100011100	11
annual	1001111100011111100000111110	11
koetter	100111110001011010101110000001011	11
30	1001111100010001000001000010010000001	11
eight	10011111000101111011100001001111001	11
rise	10011111000111111100001000	11
phone	100111110001111110101111111	11
gov	100111110001011111001011111100	11
conference	10011111000101111100110100010	11
efforts	100111110001011101111101111101100010	11
today	10011111000101110100001110010001110000	11
gulf	1001111100010111000001110110010010001110000101011110110100010001110	11
trade	1001111100010000011101100101	11
paper	10011111000101111011000110111100	11
check	100111110001111111000011001010	11
rate	10011111000111110110010101110000110110	11
short	100111110001000000011111001	11
added	10011111001001011001000010110	11
hit	10011111000101111001000010110001011011011011101	11
demand	100111110001010000111110001011	11
questions	1001111100010111000000111110100011001100	11
tax	1001111100010111101111100101011110011011110	11
computer	100111110001011100100101100110110100011	11
largest	10011111000110111100001111110	11
second	10011111000100110010100111011110	10
dinosaurs	10011111000101111010111010110011101000000000011111	10
schools	100111110001011101001010110011110010100010101110110	10
inside	1001111100010111101000000001010010011111	10
leave	10011111000101111001001101110010011010110	10
allowed	1001111100010111101101100111	10
___	11011111000	10
san	100111110001011110010000111010001011000110010111	10
costs	10011111000101110100101111001110111	10
summer	10011111000111110101001100111	10
am	10011111000101110011101101101000111100101	10
consider	100111110001011110101101000110011110001001	10
session	1001111100010100010001010101110010100111	10
age	10011111000101111010100101011011100010110010	10
donnan	1001111100011101001010001001110110	10
problem	100111110001011110101101110001100001000011001	10
together	1001111100010111001110101101010101110011	10
marked	1001111100010111111011000100111111	10
aol	1001111100010111001000111001111000001100001100	10
ended	100111110001011110010000100000101110110	10
british	10011111000101111010010111011	10
comes	1001111100010111110011101001010100111	10
return	10011111000101110011001010101101001110	10
republic	1001111100010111111001001100011100	10
building	10011111000111011111000110111100011	10
latest	100111110001011111010010111110111100	10
justice	10011111000101111110011011010101	10
close	100111110001011111101110001000000	10
game	10011111000101100000111110111101	10
.)	10011111010011110100001011100001111011	10
started	1001111100010111011100101000101010	10
ticket	1001111100010001010011001101001100	10
parts	10011111000101111001001111101001111111011100111	10
force	1001111100010111101010110111100011	10
chess	1001111100010111100010010101000101100110	10
bar	10011111000100110110110010100110010	10
appeared	10011111000100111000000000101001	10
sale	10011111000101111011001011000100111011010000110001	10
democrat	100111110001011111001011111101000000	10
suspect	1001111100010111100111111100001111111	10
messaging	1001111100010111001000111001111000001100001101	10
canada	100111110001101111000011111110	10
russian	10011111000101111100001000000100000100	10
black	1001111100010111100000110010000011011110	10
nearly	1001111100010111111010001001111011001111	10
miles	100111110001011110010111010010001110010000	10
audience	100111110001011111000110110000000111001	10
further	1001111100011110010001011111100	10
published	10011111000101110011101000001100011100	10
insurance	100111110001011110111110001011110011001001101	10
often	100111110001011101001101100000101	10
anthem	10011111000101110101111000001000100000	10
named	1001111100010111110010110110111110111010100000010	10
private	100111110001011101001010110011110010100010101110111	10
environmental	100111110001010010010111010100110	10
seats	1001111100010111110000001111011110	10
tomb	100111110001011110010001011011101111111001	10
biggest	1001111100010010001000010111	10
analysts	10011111000101111000110101111100110	10
london	10011111000110111110001011001111001	10
wanted	10011111000101110000000100011011001	10
adding	1001111100010011101100011111010	10
games	10011111000101111001000010010000111011	10
quickly	100111110001011101001101100011001	10
head	10011111000101111111000010000011011001000	10
environment	1001111100010111110001001101110111010011	10
groups	100111110001011111101100101111000001111	10
millions	100111110001011110111101010110101011001100	10
given	1001111100010111101001011110011000	10
period	1001111100011111001000111111000	10
fees	10011111000101110100101011001111001010001010111010	10
kind	100111110001011110010000111010001011000110010010000	10
art	1001111100010111000110100010100010	10
defense	100111110001011111100111101100101100	10
income	100111110001111100100011111111110101	10
bomblets	100111110001100000011001000100001	10
include	1001111100010111100001101000000011101	10
noted	100111110001000100011011001	10
capital	100111110001011110001101000100100000101011001	10
postseason	10011111000101111001000010010101000110	10
criticism	1001111100011101000011000010100110	9
needed	10011111000100111000111011111010110	9
release	10011111001110100111101111	9
result	10011111000101111110101101100100111010	9
men	1001111100010111100111101110001111100100011	9
life	100111110001011110111110001011110011001001100	9
player	10011111000101111001000011111101010101000111	9
prison	10011111000101111000100011010000101101001	9
old	1001111100010111000011011111110011111	9
continue	1001111100010111100011100100000001011111000010	9
raised	10011111000101111100101101101111101110101000000111	9
hewlett-packard	10011111000101110010101101000101110010101111111	9
along	10011111000110111100001110101	9
internet	10011111000101110010010110100111001011110	9
drive	1001111100010111101011001011111000001	9
parties	100111110001010110000110110010	9
investment	10011111000101110011011001001001100010	9
action	1001111100010111000000011110110111	9
play	10011111000101111000100100001001101	9
reporters	1001111100010110110111011000	9
indonesian	100111110001011110001111100001000001001	9
send	10011111000101000011001011000011	9
continued	10011111000101111010100000010110	9
index	10011111000110100101101101010011	9
led	100111110001011110100100100110001111	9
receive	10011111000101110010000001110100010111	9
clients	10011111000101110001101000101000111	9
process	1001111100010111101001000011001011011	9
counted	1001111100010111011101010111100110000111	9
houston	10011111000101111001000100011000010111000111000	9
figures	1001111100010111010010101100111100101000101010	9
politics	100111110001011101000001011011101	9
arrest	1001111100010111111001111101011010000	9
software	1001111100010111001001000111101110000110	9
voting	10011111000101111000010100011100101101	9
cone	100111110001001001011100111110110010	9
hand	10011111000101111001001110010011010011010	9
photo	10011111000101110001101000101000110	9
denied	10011111000101110110100011111111	9
vatican	1001111100010111101000000000101001001011010010000110100	9
decade	100111110001011110010000100101011000111	9
live	1001111100010111001011000000001111101011010001	9
didn't	10011111000101111100001100011	9
half	1001111100010111100001100111111000001110	9
nov	10011111000101110010000010001011110110	9
cannot	10011111000101111010000010101110101100	9
real	1001111100010011011001100111100110100	9
pounds	100111110001111100101110111001100100001	9
lot	100111110001011100111011001010001111100	9
jones	100111110001101001110111101111	9
broke	10011111000101111010101110101101111111	9
7	100111110001011101001010011100	9
jordan	1001111100010111101010101110110110101011010001000	9
officers	100111110001001111000101001101101000011	9
clear	10011111000101111100100110101100011	9
else	10011111000101110010001001010011000001	9
retirement	10011111000100110101000001110011	9
within	100111110001001110111010111100100100	9
nokia	100111110001111110101111110	9
entertainment	100111110001011101000011011111000	9
based	10011111000101110010100111000101100110111010	9
aides	1001111100010111110010011110110	9
100	1001111100010111011100111110101100111	9
seen	100111110010011101000111111001	9
ban	10011111000101110011001001101110101	9
afternoon	1001111100010111101001001011000010	9
father	1001111100010111100101011111000	9
finally	10011111000101100011010000110101	9
marks	1001111100010111001010100000110110110010	9
man	10011111000101110011101001001011111101010	9
anyone	10011111000101110010001001010011000000	9
especially	100111110001011100000000111000011001000110	9
shot	10011111000101111001111111000011000	9
behind	10011111001010110110100111010	9
offered	10011111000101110010001110011110000011000010	9
largely	10011111000101110010010101011101000011	9
road	100111110001101011101010110100100	9
parkhurst	10011111000101111001011000001101001001	9
lawyer	1001111100011110001110000100	9
free	100111110001110011010111010111	9
gas	100111110001100001101000100010100	9
bid	1001111100011001100100101001011101	9
assad	1001111100010111100101011111001	9
industrial	100111110001101001110111101110	9
apparently	1001111100010111111011111101	9
center	10011111000101110000110111111100110111	9
